,0,1,2,3,4,5,6,7,8,9
0,0.0,2.0,81.0,75.0,3.0,14.0,119.0,27.0,3.0,76.0
1,1.0,358.0,16.0,9.0,0.0,0.0,1.0,7.0,4.0,4.0
2,0.0,15.0,202.0,23.0,39.0,15.0,53.0,6.0,24.0,23.0
3,0.0,11.0,22.0,250.0,13.0,30.0,15.0,19.0,24.0,16.0
4,1.0,10.0,1.0,15.0,247.0,2.0,14.0,34.0,6.0,70.0
5,9.0,23.0,14.0,97.0,21.0,65.0,45.0,45.0,15.0,66.0
6,0.0,31.0,24.0,42.0,69.0,11.0,138.0,31.0,39.0,15.0
7,0.0,40.0,53.0,8.0,18.0,2.0,7.0,180.0,3.0,89.0
8,6.0,42.0,86.0,46.0,41.0,34.0,56.0,18.0,46.0,25.0
9,9.0,10.0,12.0,26.0,55.0,3.0,11.0,60.0,10.0,204.0
